"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"2","1.001","85","94","100","38"
"4","1.001","81","94","100","140"
"3","1.001","85","94","100","90"
"1","1.001","87","94","100","40"
"2","1.001","86","94","100","38"
"4","1.001","82","94","100","140"
"3","1.001","86","94","100","90"
"1","1.001","88","94","100","40"
"2","1.001","87","94","100","38"
"3","1.001","87","94","100","90"
"4","1.001","83","94","100","140"
"1","1.001","89","94","100","40"
"2","1.001","88","94","100","38"
"3","1.001","88","94","100","90"
"4","1.001","84","94","100","140"
"1","1.001","90","94","100","40"
"2","1.001","89","94","100","38"
"3","1.001","89","94","100","90"
"1","1.001","91","94","100","40"
"4","1.001","85","94","100","140"
"2","1.001","90","94","100","38"
"3","1.001","90","94","100","90"
"1","1.001","92","94","100","40"
"4","1.001","86","94","100","140"
"2","1.001","91","94","100","38"
"3","1.001","91","94","100","90"
"1","1.001","93","94","100","40"
"4","1.001","87","94","100","140"
"3","1.001","92","94","100","90"
"2","1.001","92","94","100","38"
"1","1.001","94","94","100","40"
"4","1.001","88","94","100","140"
"2","1.001","93","94","100","38"
"3","1.001","93","94","100","90"
"1","1.001","95","94","100","40"
"4","1.001","89","94","100","140"
"2","1.001","94","94","100","38"
"3","1.001","94","94","100","90"
"1","1.001","96","94","100","40"
"4","1.001","90","94","100","140"
"2","1.001","95","94","100","38"
"1","1.001","97","94","100","40"
"3","1.001","95","94","100","90"
"4","1.001","91","94","100","140"
"1","1.001","98","94","100","40"
"3","1.001","96","94","100","90"
"2","1.001","96","94","100","38"
"4","1.001","92","94","100","140"
"2","1.001","97","94","100","38"
"1","1.001","99","94","100","40"
"3","1.001","97","94","100","90"
"4","1.001","93","94","100","140"
"2","1.001","98","94","100","38"
"1","1.001","100","94","100","40"
"3","1.001","98","94","100","90"
"4","1.001","94","94","100","140"
"2","1.001","99","94","100","38"
"1","1.001","101","94","100","40"
"3","1.001","99","94","100","90"
"2","1.001","100","94","100","38"
"4","1.001","95","94","100","140"
"1","1.001","102","94","100","40"
"3","1.001","100","94","100","90"
"1","1.001","103","94","100","40"
"2","1.001","101","94","100","38"
"3","1.001","101","94","100","90"
"4","1.001","96","94","100","140"
"1","1.001","104","94","100","40"
"2","1.001","102","94","100","38"
"3","1.001","102","94","100","90"
"4","1.001","97","94","100","140"
"1","1.001","105","94","100","40"
"2","1.001","103","94","100","38"
"3","1.001","103","94","100","90"
"4","1.001","98","94","100","140"
"1","1.001","106","94","100","40"
"2","1.001","104","94","100","38"
"3","1.001","104","94","100","90"
"4","1.001","99","94","100","140"
"1","1.001","107","94","100","40"
"2","1.001","105","94","100","38"
"3","1.001","105","94","100","90"
"4","1.001","100","94","100","140"
"1","1.001","108","94","100","40"
"2","1.001","106","94","100","38"
"3","1.001","106","94","100","90"
"4","1.001","101","94","100","140"
"1","1.001","109","94","100","40"
"2","1.001","107","94","100","38"
"3","1.001","107","94","100","90"
"4","1.001","102","94","100","140"
"2","1.001","108","94","100","38"
"3","1.001","108","94","100","90"
"1","1.001","110","94","100","40"
"4","1.001","103","94","100","140"
