BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
06/13/2020 19:10:48:149 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;gui-death_rate;[step];getViability;getRemainingCellRatio
929;30;24;10;1.005;216;63.8;100
930;30;24;10;1.005;216;63.8;100
937;30;24;20;1.005;216;63.8;100
938;30;24;20;1.005;216;63.8;100
945;30;24;30;1.005;216;63.8;100
946;30;24;30;1.005;216;63.8;100
953;30;24;50;1.005;216;63.8;100
954;30;24;50;1.005;216;63.8;100
961;30;36;10;1.005;216;63.8;100
962;30;36;10;1.005;216;63.8;100
969;30;36;20;1.005;216;63.8;100
970;30;36;20;1.005;216;63.8;100
977;30;36;30;1.005;216;63.8;100
978;30;36;30;1.005;216;63.8;100
985;30;36;50;1.005;216;63.8;100
986;30;36;50;1.005;216;63.8;100
993;30;48;10;1.005;216;63.8;100
994;30;48;10;1.005;216;63.8;100
1001;30;48;20;1.005;216;63.8;100
1002;30;48;20;1.005;216;63.8;100
1009;30;48;30;1.005;216;63.8;100
1010;30;48;30;1.005;216;63.8;100
1017;30;48;50;1.005;216;63.8;100
1018;30;48;50;1.005;216;63.8;100
1025;50;12;10;1.005;216;64.81105242;98.44
1026;50;12;10;1.005;216;64.81105242;98.44
1033;50;12;20;1.005;216;63.8;100
1034;50;12;20;1.005;216;63.8;100
1041;50;12;30;1.005;216;63.8;100
1042;50;12;30;1.005;216;63.8;100
1049;50;12;50;1.005;216;63.8;100
1050;50;12;50;1.005;216;63.8;100
1058;50;24;10;1.005;216;63.8;100
1057;50;24;10;1.005;216;63.8;100
1065;50;24;20;1.005;216;63.8;100
1066;50;24;20;1.005;216;63.8;100
1073;50;24;30;1.005;216;63.8;100
1074;50;24;30;1.005;216;63.8;100
1081;50;24;50;1.005;216;63.8;100
1082;50;24;50;1.005;216;63.8;100
1089;50;36;10;1.005;216;63.8;100
1090;50;36;10;1.005;216;63.8;100
1097;50;36;20;1.005;216;63.8;100
1098;50;36;20;1.005;216;63.8;100
1105;50;36;30;1.005;216;63.8;100
1106;50;36;30;1.005;216;63.8;100
1114;50;36;50;1.005;216;63.8;100
1113;50;36;50;1.005;216;63.8;100
1121;50;48;10;1.005;216;63.8;100
1122;50;48;10;1.005;216;63.8;100
1129;50;48;20;1.005;216;63.8;100
1130;50;48;20;1.005;216;63.8;100
1137;50;48;30;1.005;216;63.8;100
1138;50;48;30;1.005;216;63.8;100
1145;50;48;50;1.005;216;63.8;100
1146;50;48;50;1.005;216;63.8;100
4;1;12;10;1.007;216;41.48;100
3;1;12;10;1.007;216;41.48;100
11;1;12;20;1.007;216;41.48;100
12;1;12;20;1.007;216;41.48;100
19;1;12;30;1.007;216;41.48;100
20;1;12;30;1.007;216;41.48;100
27;1;12;50;1.007;216;41.48;100
28;1;12;50;1.007;216;41.48;100
35;1;24;10;1.007;216;41.48;100
36;1;24;10;1.007;216;41.48;100
43;1;24;20;1.007;216;41.48;100
44;1;24;20;1.007;216;41.48;100
51;1;24;30;1.007;216;41.48;100
52;1;24;30;1.007;216;41.48;100
59;1;24;50;1.007;216;41.48;100
60;1;24;50;1.007;216;41.48;100
67;1;36;10;1.007;216;41.48;100
68;1;36;10;1.007;216;41.48;100
75;1;36;20;1.007;216;41.48;100
76;1;36;20;1.007;216;41.48;100
83;1;36;30;1.007;216;41.48;100
